AE	Arctic Tern
AV	Avocet
BF	Bullfinch
BL	Brambling
BX	Black Redstart
CT	Coal Tit
CV	Curlew Sandpiper
CW	Cetti's Warbler
FF	Fieldfare
G 	Green Woodpecker
GC	Goldcrest
GD	Goosander
GG	Great Crested Grebe
GH	Grasshopper Warbler
GJ	Greylag Goose
GP	Golden Plover
GS	Great Spotted Woodpecker
GW	Garden Warbler
HD	Bar-headed Goose
HH	Hen Harrier
HY	Hobby
J 	Jay
JS	Jack Snipe
KF	Kingfisher
LO	Little Owl
LS	Lesser Spotted Woodpecker
LT	Long-tailed Tit
ML	Merlin
PF	Pied Flycatcher
PH	Pheasant
PO	Pochard
RC	Rock Pipit
RE	Redwing
RI	Ring-necked Parakeet
RT	Redstart
RZ	Ring Ouzel
SJ	Snow Goose
SK	Siskin
SS	Sanderling
TE	Sandwich Tern
TO	Tawny Owl
TT	Turnstone
UA	Australian Shelduck
WC	Whinchat
WN	Wigeon
