CO,Coot,Fulica atra
AA,Black-browed Albatross,Diomedea melanophris
AB,Sabine's Gull,Larus sabini
AC,Arctic Skua,Stercorarius parasiticus
AD,American Redstart,Setophaga ruticilla
AE,Arctic Tern,Sterna paradisaea
AF,Little Tern,Sterna albifrons
AI,Alpine Swift,Apus melba
AK,Spotted Crake,Porzana porzana
AL,Arctic Redpoll,Carduelis hornemanni
AM,American Bittern,Botaurus lentiginosus
AN,Common Crane,Grus grus
AP,Arctic Warbler,Phylloscopus borealis
AQ,Aquatic Warbler,Acrocephalus paludicola
AR,American Robin,Turdus migratorius
AV,Avocet,Recurvirostra avosetta
AW,American Wigeon,Anas americana
AY,Lesser Scaup,Aythya affinis
B,Blackbird,Turdus merula
BA,Bar-tailed Godwit,Limosa lapponica
BB,Black Brant,Branta bernicla nigricans
BC,Blackcap,Sylvia atricapilla
BD,Black Duck,Anas rubripes
BE,Bean Goose,Anser fabalis
BF,Bullfinch,Pyrrhula pyrrhula
BG,Brent Goose,Branta bernicla
BH,Black-headed Gull,Larus ridibundus
BI,Bittern,Botaurus stellaris
BJ,Black Tern,Chlidonias niger
BK,Black Grouse,Tetrao tetrix
BL,Brambling,Fringilla montifringilla
BN,Black-necked Grebe,Podiceps nigricollis
BO,Barn Owl,Tyto alba
BP,Baird's Sandpiper,Calidris bairdii
BQ,Buff-breasted Sandpiper,Tryngites subruficollis
BR,Bearded Tit,Panurus biarmicus
BS,Bewick's Swan,Cygnus columbianus
BT,Blue Tit,Parus caeruleus
BU,Bluethroat,Luscinia svecica
BV,Black-throated Diver,Gavia arctica
BW,Black-tailed Godwit,Limosa limosa
BX,Black Redstart,Phoenicurus ochruros
BY,Barnacle Goose,Branta leucopsis
BZ,Buzzard,Buteo buteo
C,Carrion Crow,Corvus corone corone
CA,Cormorant,Phalacrocorax carbo
CB,Corn Bunting,Miliaria calandra
CC,Chiffchaff,Phylloscopus collybita
CD,Collared Dove,Streptopelia decaocto
CE,Corn Crake,Crex crex
CF,Chough,Pyrrhocorax pyrrhocorax
CG,Canada Goose,Branta canadensis
CH,Chaffinch,Fringilla coelebs
CI,Crested Tit,Parus cristatus
CJ,Caspian Tern,Sterna caspia
CK,Cuckoo,Cuculus canorus
CL,Cirl Bunting,Emberiza cirlus
CM,Common Gull,Larus canus
CN,Common Tern,Sterna hirundo
CP,Capercaillie,Tetrao urogallus
CQ,Cory's Shearwater,Calonectris diomedea
CR,Crossbill,Loxia curvirostra
WS,Whooper Swan,Cygnus cygnus
CT,Coal Tit,Parus ater
CU,Curlew,Numenius arquata
CV,Curlew Sandpiper,Calidris ferruginea
CW,Cetti's Warbler,Cettia cetti
CX,Common Scoter,Melanitta nigra
CY,Scottish Crossbill,Loxia scotica
D,Dunnock,Prunella modularis
DB,Dark-bellied Brent Goose,Branta bernicla bernicla
DI,Dipper,Cinclus cinclus
