?column?,bto_code,first_date,?column?
garsiden,CO,2003-03-13,
garsiden,CU,2003-03-13,
garsiden,ET,2003-03-13,
garsiden,DN,2003-03-13,
garsiden,MP,2003-03-13,
garsiden,C,2003-03-13,
garsiden,RC,2003-03-13,
garsiden,T,2003-03-13,
garsiden,K,2003-03-13,
garsiden,OC,2003-03-13,
garsiden,WR,2003-03-13,
garsiden,GL,2003-03-13,
garsiden,R,2003-03-13,
garsiden,MA,2003-03-13,
garsiden,CH,2003-03-13,
garsiden,RK,2003-03-13,
garsiden,SU,2003-03-13,
garsiden,WN,2003-03-13,
garsiden,PW,2003-03-25,
garsiden,H,2003-03-25,
garsiden,GO,2003-03-25,
garsiden,LT,2003-03-25,
garsiden,MG,2003-03-25,
garsiden,CC,2003-03-25,
garsiden,S,2003-03-25,
garsiden,GG,2003-03-25,
garsiden,BH,2003-03-25,
garsiden,WP,2003-03-25,
garsiden,B,2003-03-25,
garsiden,MS,2003-03-25,
garsiden,CA,2003-03-28,
garsiden,LB,2003-03-28,
garsiden,AV,2003-03-28,
garsiden,GR,2003-03-28,
garsiden,L,2003-03-28,
garsiden,TU,2003-03-28,
garsiden,PT,2003-03-28,
garsiden,GT,2003-03-31,
garsiden,SV,2003-03-31,
garsiden,BT,2003-03-31,
garsiden,SG,2003-03-31,
garsiden,BZ,2003-04-03,
garsiden,JD,2003-04-03,
garsiden,WW,2003-04-03,
garsiden,CG,2003-04-08,
garsiden,GB,2003-04-08,
garsiden,ST,2003-04-08,
garsiden,HS,2003-04-18,
garsiden,SL,2003-04-18,
garsiden,LI,2003-04-18,
garsiden,D,2003-04-18,
garsiden,W,2003-04-25,
garsiden,WM,2003-04-25,
garsiden,SW,2003-04-25,
garsiden,RP,2003-04-25,
garsiden,LW,2003-05-01,
garsiden,HM,2003-05-01,
garsiden,RW,2003-05-01,
garsiden,WH,2003-05-05,
garsiden,CD,2003-05-05,
garsiden,SH,2003-05-05,
garsiden,CK,2003-05-22,
garsiden,SI,2003-05-22,
garsiden,MH,2004-02-16,
garsiden,GA,2004-02-16,
garsiden,RE,2004-02-16,
garsiden,GV,2004-02-16,
garsiden,KF,2004-02-16,
garsiden,LG,2004-02-23,
garsiden,BW,2004-02-23,
garsiden,JS,2004-02-23,
garsiden,RB,2004-02-23,
garsiden,SC,2004-02-26,
garsiden,FF,2004-03-04,
garsiden,GC,2004-03-06,
garsiden,M,2004-03-06,
garsiden,CW,2004-03-17,
garsiden,SD,2004-04-18,
garsiden,CS,2004-04-18,
garsiden,BG,2004-04-18,
garsiden,KN,2004-04-25,
garsiden,GJ,2004-04-25,
garsiden,DR,2004-04-30,
garsiden,MU,2004-05-25,
garsiden,BC,2004-06-16,
garsiden,SM,2004-07-04,
garsiden,HG,2004-07-20,
garsiden,SJ,2004-07-30,
garsiden,HD,2004-07-30,
garsiden,YW,2004-07-31,
garsiden,ML,2004-08-05,
garsiden,SK,2004-08-05,
garsiden,J,2004-08-07,
garsiden,PE,2004-08-13,
garsiden,SN,2004-08-17,
garsiden,SF,2004-09-02,
garsiden,GE,2004-09-10,
garsiden,CM,2004-09-30,
garsiden,CT,2004-10-14,
garsiden,SE,2004-10-14,
garsiden,TT,2004-10-17,
garsiden,BX,2004-11-04,
garsiden,RI,2004-11-07,
garsiden,GS,2004-11-14,
garsiden,BF,2004-11-17,
garsiden,PH,2004-11-21,
garsiden,GP,2004-12-02,
garsiden,GY,2005-04-19,
garsiden,PO,2005-05-10,
garsiden,GK,2005-08-11,
garsiden,HY,2005-09-04,
garsiden,WC,2005-09-18,
garsiden,CV,2005-09-24,
garsiden,RN,2005-10-04,
garsiden,RZ,2005-10-19,
garsiden,LR,2005-10-23,
garsiden,BA,2005-11-06,
garsiden,WI,2005-11-24,
garsiden,PF,2006-07-22,
garsiden,OP,2006-07-25,
garsiden,G,2006-08-03,
garsiden,RT,2006-08-15,
garsiden,TE,2006-08-16,
garsiden,LO,2006-10-23,
garsiden,DB,2006-10-31,
garsiden,RO,2006-11-01,
garsiden,BL,2006-11-08,
garsiden,TO,2007-07-06,
garsiden,AC,2007-07-06,
garsiden,CX,2007-08-15,
garsiden,SS,2007-08-16,
garsiden,AE,2007-09-20,
garsiden,LS,2007-10-17,
garsiden,GD,2007-11-16,
garsiden,HH,2007-11-20,
garsiden,UA,2008-04-07,
garsiden,GH,2008-04-23,
garsiden,TD,2008-09-07,
garsiden,GW,2008-09-17,
garsiden,PB,2008-09-18,
garsiden,BS,2009-01-01,
garsiden,TP,2009-08-29,
(142 rows)
